order_id,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,revenue,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date
9f34a57aebc01d6ad4268ec70c75bd2d,1,1fcb60b5848efd11d95695cbad320c14,dd2bdf855a9172734fbc3744021ae9b9,2017-08-01 17:12:58,329.9,24.63,354.53,65ffcd11ef8a73635aaf113cd7b502a7,delivered,2017-07-04 16:29:20,2017-07-05 17:38:16,2017-07-20 14:54:59,2017-07-20 14:54:59,2017-08-23
b573a7a3724543c6604ac157a2194699,1,1c5b879ad722644d2f3fb52553ced17a,07bf9669d84d1f11be443a9dd938f698,2018-07-04 02:15:45,108.0,34.82,142.82,b4e82458897304b3a13fa1fdf022477e,delivered,2018-06-27 09:01:34,2018-06-28 02:15:45,2018-06-28 13:36:00,2018-06-29 17:18:53,2018-07-16
db73b0bf183667da81ff755fd5ab1228,1,091aa6199199f1ccbd272d06892322de,ef506c96320abeedfb894c34db06f478,2018-05-07 09:55:28,39.99,19.85,59.84,f6491b702a81fb2c4b8e25d5ab0e56c4,delivered,2018-04-29 10:10:04,2018-04-30 09:55:58,2018-05-07 13:31:00,2018-06-01 12:12:39,2018-05-28
a9a93c428c6103f2151bb63a1d32a520,1,e4e9fa024c5f014419b395452a41987c,e2aee0892199b1d92530e371abd825bf,2017-01-18 17:57:50,99.9,60.77,160.67000000000002,99ed295fa7b1f749594ce5f709ef1073,delivered,2017-01-14 17:57:50,2017-01-17 10:55:13,2017-01-20 17:58:58,2017-01-30 18:37:44,2017-02-28
08921fc98ee1dc54454ae8af90493c44,1,aca2eb7d00ea1a7b8ebd4e68314663af,955fee9216a65b617aa5c0531780ce60,2018-04-25 01:30:15,69.9,12.43,82.33000000000001,73f6f07cecb177c52aafb9ddd4b4b448,delivered,2018-04-19 01:10:02,2018-04-19 01:30:15,2018-04-19 18:03:42,2018-04-20 18:52:35,2018-05-08
9747f2b4defc1357fd6645a4acf8e0e2,1,4ae634441e444ca4bc85903cafe98d73,92eb0f42c21942b6552362b9b114707d,2017-05-03 13:42:30,13.98,24.35,38.33,58c1e87744d4fb452bea6a8e3b578f69,delivered,2017-04-26 13:26:49,2017-04-26 13:42:30,2017-05-02 16:32:12,2017-05-24 02:27:52,2017-05-29
079f16689c29acb6cab92978e6af2137,1,aca2eb7d00ea1a7b8ebd4e68314663af,955fee9216a65b617aa5c0531780ce60,2018-05-11 18:15:13,69.9,0.0,69.9,8b6fcc7c89c9bbdd8e5e47e35fb13f53,delivered,2018-05-09 18:01:29,2018-05-09 18:15:13,2018-05-10 12:07:00,2018-05-26 16:54:30,2018-05-30
4f16d07441ebb275f11b0c403433a20b,1,78efe838c04bbc568be034082200ac20,0241d4d5d36f10f80c644447315af0bd,2018-08-03 13:31:54,70.0,24.36,94.36,7ca21490a9d1f75bb84871b6e57177cb,delivered,2018-08-01 13:02:26,2018-08-01 13:40:18,2018-08-01 16:00:00,2018-08-06 15:08:45,2018-08-14
ace7896e72991cf2be628e8e4c451b17,1,66a0a6e02b7f543e5b021ce361f267d4,7a67c85e85bb2ce8582c35f2203ad736,2017-03-15 23:10:42,119.99,15.6,135.59,c735608b79e9fc74cc0522343b8a57c3,delivered,2017-03-11 23:10:42,2017-03-11 23:10:42,2017-03-16 10:11:51,2017-03-23 23:04:26,2017-04-03
6f6fb5a1685d21efac70b753fd9f70a3,1,dd6a505f83dd3c6326aa9856519e0978,fa40cc5b934574b62717c68f3d678b6d,2017-10-17 01:14:25,49.9,7.78,57.68,86f4256cd3618d9110edfb952a008c65,delivered,2017-10-10 00:07:07,2017-10-10 00:14:25,2017-10-13 19:19:01,2017-10-17 00:14:50,2017-10-23
b20687804070fdfcbb7a183e9dd0cc1b,1,0d0f2c7fcae108a74c895521c62d46f6,09f952a5f58d2285b0372551ae8f9b01,2018-03-27 09:48:13,89.99,11.25,101.24,8255e4eaf811ff690f6b153f4a127f0e,delivered,2018-03-20 16:13:06,2018-03-21 09:48:13,2018-03-22 21:29:04,2018-03-24 00:32:48,2018-04-02
7f7ecce97b3b42d8f61c14fd46a50593,1,55908895fd7f77982b2d5a8aa1ad4fae,cb6c9f5888a7a090c75beaf615925792,2018-08-22 12:55:35,129.49,18.71,148.20000000000002,84f82d5d361c6b6ae90f6de02256702c,delivered,2018-08-19 19:12:14,2018-08-20 12:55:35,2018-08-21 14:03:00,2018-08-27 20:28:48,2018-09-11
c8b5a04212ccaad7ba2b0a39fb8d0a1d,1,78e4f0bfb0f64274be5b054164c602ed,128639473a139ac0f3e5f5ade55873a5,2017-07-20 16:45:26,219.9,20.78,240.68,8e87eb5d72c4ff2d3a8593c95d709baf,delivered,2017-07-14 16:35:47,2017-07-14 16:45:26,2017-07-20 20:09:56,2017-07-28 20:27:47,2017-08-09
be49c4e4b3b0f04ec7752ea004feec8c,1,11d0c969546d6f21d23188084e25cf81,f45122a9ab94eb4f3f8953578bc0c560,2018-08-07 14:24:27,399.99,29.1,429.09000000000003,5cf67e8b0f3046587f30daa2ae1c3e69,delivered,2018-08-05 14:07:10,2018-08-05 14:24:27,2018-08-06 15:16:00,2018-08-10 13:32:27,2018-08-15
323d47b2350119b2f1da2f6fe63e1e73,2,5fde2352cd9bb03105487d89242a0549,8a43128d7f9a3db592b866e6861a6cce,2018-07-04 20:30:15,418.9,18.03,436.92999999999995,b4822e42a92e0d848ea0a71ff7e0b379,delivered,2018-06-25 20:37:05,2018-06-26 20:30:15,2018-06-27 10:06:00,2018-07-03 18:03:59,2018-08-01
